Component,Origin,License,Copyright
github.com/DataDog/rules_oci/cmd/ocitool,,,
github.com/DataDog/rules_oci/internal/flagutil,,,
github.com/DataDog/rules_oci/internal/set,,,
github.com/DataDog/rules_oci/internal/tarutil,,,
github.com/DataDog/rules_oci/pkg/blob,,,
github.com/DataDog/rules_oci/pkg/credhelper,,,
github.com/DataDog/rules_oci/pkg/deb2layer,,,
github.com/DataDog/rules_oci/pkg/layer,,,
github.com/DataDog/rules_oci/pkg/ociutil,,,
github.com/DataDog/rules_oci/release,,,
github.com/DataDog/rules_oci/tests/go-multiarch-image,,,
github.com/bazelbuild/bazel-gazelle,https://github.com/bazelbuild/bazel-gazelle,Apache-2.0,
github.com/bazelbuild/buildtools,https://github.com/bazelbuild/buildtools,Apache-2.0,
github.com/beorn7/perks/quantile,https://github.com/beorn7/perks,MIT,Blake Mizerany
github.com/blakesmith/ar,https://github.com/blakesmith/ar,MIT,Blake Smith <blakesmith0@gmail.com>
github.com/cactus/go-statsd-client/statsd,https://github.com/cactus/go-statsd-client,MIT,Eli Janssen
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash,MIT,Caleb Spare
github.com/containerd/containerd,https://github.com/containerd/containerd,Apache-2.0,
github.com/cpuguy83/go-md2man/v2/md2man,https://github.com/cpuguy83/go-md2man,MIT,Brian Goff
github.com/docker/cli/cli/config,https://github.com/docker/cli,Apache-2.0,"Docker, Inc."
github.com/docker/distribution,https://github.com/docker/distribution,Apache-2.0,
github.com/docker/docker,https://github.com/docker/docker,Apache-2.0,"Docker, Inc."
github.com/docker/docker-credential-helpers,https://github.com/docker/docker-credential-helpers,MIT,David Calavera
github.com/docker/go-connections,https://github.com/docker/go-connections,Apache-2.0,"Docker, Inc."
github.com/docker/go-metrics,https://github.com/docker/go-metrics,Apache-2.0,"Docker, Inc."
github.com/docker/go-units,https://github.com/docker/go-units,Apache-2.0,"Docker, Inc."
github.com/gogo/protobuf/proto,https://github.com/gogo/protobuf,BSD-3-Clause,The GoGo Authors
github.com/golang/protobuf,https://github.com/golang/protobuf,BSD-3-Clause,The Go Authors
github.com/gorilla/mux,https://github.com/gorilla/mux,BSD-3-Clause,The Gorilla Authors
github.com/klauspost/compress,https://github.com/klauspost/compress,Apache-2.0,The Go Authors
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress,BSD-3-Clause,The Snappy-Go Authors
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress,MIT,Caleb Spare
github.com/matttproud/golang_protobuf_extensions/pbutil,https://github.com/matttproud/golang_protobuf_extensions,Apache-2.0,
github.com/mitchellh/go-homedir,https://github.com/mitchellh/go-homedir,MIT,Mitchell Hashimoto
github.com/moby/locker,https://github.com/moby/locker,Apache-2.0,"Docker, Inc."
github.com/moby/term,https://github.com/moby/term,Apache-2.0,"Docker, Inc."
github.com/morikuni/aec,https://github.com/morikuni/aec,MIT,Taihei Morikuni
github.com/opencontainers/go-digest,https://github.com/opencontainers/go-digest,Apache-2.0,OCI Contributors
github.com/opencontainers/image-spec/specs-go,https://github.com/opencontainers/image-spec,Apache-2.0,The Linux Foundation
github.com/pkg/errors,https://github.com/pkg/errors,BSD-2-Clause,Dave Cheney <dave@cheney.net>
github.com/prometheus/client_golang/prometheus,https://github.com/prometheus/client_golang,Apache-2.0,
github.com/prometheus/client_model/go,https://github.com/prometheus/client_model,Apache-2.0,
github.com/prometheus/common,https://github.com/prometheus/common,Apache-2.0,
github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg,https://github.com/prometheus/common,BSD-3-Clause,Open Knowledge Foundation Ltd
github.com/prometheus/procfs,https://github.com/prometheus/procfs,Apache-2.0,
github.com/russross/blackfriday/v2,https://github.com/russross/blackfriday,BSD-2-Clause,Russ Ross
github.com/shurcooL/sanitized_anchor_name,https://github.com/shurcooL/sanitized_anchor_name,MIT,Dmitri Shuralyov
github.com/sirupsen/logrus,https://github.com/sirupsen/logrus,MIT,Simon Eskildsen
github.com/urfave/cli/v2,https://github.com/urfave/cli,MIT,Jeremy Saenz & Contributors
golang.org/x/net/context/ctxhttp,,BSD-3-Clause,The Go Authors
golang.org/x/sync,,BSD-3-Clause,The Go Authors
golang.org/x/sys,,BSD-3-Clause,The Go Authors
golang.org/x/tools/go/vcs,,BSD-3-Clause,The Go Authors
google.golang.org/genproto/googleapis/rpc/status,,Apache-2.0,
google.golang.org/grpc,,Apache-2.0,
google.golang.org/protobuf,,BSD-3-Clause,The Go Authors
oras.land/oras-go/pkg,,Apache-2.0,ORAS Authors
